TradeName,ScientificName,Size,SizeUnit,DrugType,LegalStatus,Manufacture_Name,Manufacture_Country,AuthorizationStatus,LastUpdate
SODIUM CHLORIDE 0.9% INFUSION,SODIUM CHLORIDE,500,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,8/22/2024
SODIUM CHLORIDE 0.45% INF.,SODIUM CHLORIDE,250,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,8/29/2022
SODIUM CHLORIDE 0.45% INF.,SODIUM CHLORIDE,250,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,8/29/2022
SODIUM CHLORIDE 0.45% INF.,SODIUM CHLORIDE,1000,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,8/29/2022
SODIUM CHLORIDE 0.45% INF.,SODIUM CHLORIDE,500,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,6/9/2024
SODIUM CHLORIDE 0.18%I.V SOLUTION,SODIUM CHLORIDE,250,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,8/29/2022
SODIUM CHLORIDE 0.45% INF.,SODIUM CHLORIDE,500,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,8/29/2022
SOD.CHLORIDE 0.9% FOR IRRIGATION,SODIUM CHLORIDE,1000,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,8/29/2022
0.9% w/v SODIUM CHLORIDE for irrigation,SODIUM CHLORIDE,2000,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,1/8/2023
SOD.CHLORIDE 0.9% FOR IRRIGATION,SODIUM CHLORIDE,1000,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,6/9/2024
CLARIXIN 500 MG TABLET,CLARITHROMYCIN,-,-,Generic,Prescription,Med city,Saudi Arabia,Valid,5/12/2025
CLARITT XL 500MG EXTENDED RELEASE TABLETS,CLARITHROMYCIN,-,-,Generic,Prescription,TABUK PHARMACEUTICAL MANUFACTURING CO.,Saudi Arabia,Valid,5/9/2024
CLINDASOL 10MG-ML Solution,CLINDAMYCIN PHOSPHATE,60,ml,Generic,Prescription,Dallah Pharma Factory,Saudi Arabia,Valid,1/9/2025
CLIOCORT,"HYDROCORTISONE ACETATE,CLIOQUINOL",10,g,Generic,Prescription,RIYADH PHARMA,Saudi Arabia,Valid,6/6/2024
CLARITT XL 500 MG EXTENDED RELEASE TAB.,CLARITHROMYCIN,-,-,Generic,Prescription,TABUK PHARMACEUTICAL MANUFACTURING CO.,Saudi Arabia,Valid,8/29/2022
CLOBEDERM,CLOBETASOL PROPIONATE,25,g,Generic,Prescription,RIYADH PHARMA,Saudi Arabia,Valid,9/14/2023
CLARITT 500 MG FILM COATED TAB,CLARITHROMYCIN,-,-,Generic,Prescription,TABUK PHARMACEUTICAL MANUFACTURING CO.,Saudi Arabia,Valid,5/9/2024
CLARITT 250 MG - 5 ML SUSPENSION,CLARITHROMYCIN,70,ml,Generic,Prescription,TABUK PHARMACEUTICAL MANUFACTURING CO.,Saudi Arabia,Valid,8/29/2022
CITALOGEN 20 mg film-coated tablet,CITALOPRAM,-,-,Generic,Prescription,RIYADH PHARMA,Saudi Arabia,Valid,2/19/2025
CITALOGEN 10 mg film-coated tablet,CITALOPRAM,-,-,Generic,Prescription,RIYADH PHARMA,Saudi Arabia,Valid,2/19/2025
CITRIN 5MG-5ML SYRUP,CETIRIZINE HYDROCHLORIDE,100,ml,Generic,OTC,DEEF PHARMACEUTICAL INDUSTRIES,Saudi Arabia,Valid,11/7/2024
CLARITT 125 MG - 5 ML SUSPENSION,CLARITHROMYCIN,60,ml,Generic,Prescription,TABUK PHARMACEUTICAL MANUFACTURING CO.,Saudi Arabia,Valid,8/29/2022
CLARITINE 5MG-5ML SYRUP,LORATADINE,100,ml,Generic,OTC,SPIMACO,Saudi Arabia,Valid,4/23/2025
CLARITINE 10MG TAB,LORATADINE,-,-,NCE,OTC,SPIMACO,Saudi Arabia,Valid,1/30/2025
CLARINASE 5MG+60MG-5ML SYRUP,"PSEUDOEPHEDRINE HYDROCHLORIDE,LORATADINE",100,ml,Generic,OTC,SPIMACO,Saudi Arabia,Valid,4/5/2023
CLARIMAC 500 mg film-coated tablet,CLARITHROMYCIN,-,-,Generic,Prescription,RIYADH PHARMA,Saudi Arabia,Valid,11/13/2024
CLARITT 250 MG FILM COATED,CLARITHROMYCIN,-,-,Generic,Prescription,TABUK PHARMACEUTICAL MANUFACTURING CO.,Saudi Arabia,Valid,5/9/2024
CLARA 5MG\5ML SYRUP,LORATADINE,100,ml,Generic,OTC,Jamjoom Pharmaceuticals Factory Company,Saudi Arabia,Valid,11/5/2023
CLARA 10MG TABLET,LORATADINE,-,-,Generic,OTC,Jamjoom Pharmaceuticals Factory Company,Saudi Arabia,Valid,12/17/2024
CONAZOLE VAGINAL CREAM 20MG-1GM,MICONAZOLE NITRATE,40,g,Generic,OTC,DEEF PHARMACEUTICAL INDUSTRIES,Saudi Arabia,Valid,10/16/2024
CONAZOLE VAGINAL CREAM 20MG-1GM,MICONAZOLE NITRATE,78,g,Generic,OTC,DEEF PHARMACEUTICAL INDUSTRIES,Saudi Arabia,Valid,7/28/2025
CONAZOL 2% CREAM,MICONAZOLE NITRATE,15,g,Generic,OTC,DEEF PHARMACEUTICAL INDUSTRIES,Saudi Arabia,Valid,12/9/2024
CO-TABUVAN,"VALSARTAN,HYDROCHLOROTHIAZIDE",-,-,Generic,Prescription,TABUK PHARMACEUTICAL MANUFACTURING CO.,Saudi Arabia,Valid,10/16/2024
CO-TABUVAN,"VALSARTAN,HYDROCHLOROTHIAZIDE",-,-,Generic,Prescription,TABUK PHARMACEUTICAL MANUFACTURING CO.,Saudi Arabia,Valid,10/16/2024
CONAZOL 2% CREAM,MICONAZOLE NITRATE,30,g,Generic,OTC,DEEF PHARMACEUTICAL INDUSTRIES,Saudi Arabia,Valid,5/27/2025
CO-TABUVAN,"VALSARTAN,HYDROCHLOROTHIAZIDE",-,-,Generic,Prescription,TABUK PHARMACEUTICAL MANUFACTURING CO.,Saudi Arabia,Valid,10/16/2024
CO-TABUVAN,"VALSARTAN,HYDROCHLOROTHIAZIDE",-,-,Generic,Prescription,TABUK PHARMACEUTICAL MANUFACTURING CO.,Saudi Arabia,Valid,10/16/2024
CORTIDERM 1% CREAM,HYDROCORTISONE ACETATE,10,g,Generic,OTC,SPIMACO,Saudi Arabia,Valid,11/10/2022
CORTIDERM 1% CREAM,HYDROCORTISONE,30,g,Generic,OTC,SPIMACO,Saudi Arabia,Valid,11/10/2022
CO-TABUVAN,"VALSARTAN,HYDROCHLOROTHIAZIDE",-,-,Generic,Prescription,TABUK PHARMACEUTICAL MANUFACTURING CO.,Saudi Arabia,Valid,10/16/2024
COMPOUND SODIUM LACTATE INFUSION,LACTATED RINGER(S),250,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,8/31/2022
COBRA ANTIVENOM (EQUINE) AMP,ANTIVENOM IMMUNOGLOBULIN (AGAINST NAJA HAJE ARABICUS & WALTERI-NNESIA AEGYPTIA VENOM),10,ml,Biological,Prescription,NATIONAL ANTIVENOM AND VACCINE PRODUCTION CENTER,Saudi Arabia,Valid,8/31/2022
CLOVIR 5% CREAM,ACYCLOVIR,10,g,Generic,Prescription,SPIMACO,Saudi Arabia,Valid,7/27/2025
CLOVIR 200MG TAB,ACYCLOVIR,-,-,Generic,Prescription,SPIMACO,Saudi Arabia,Valid,12/19/2023
CLOVAINE 10% W/W GEL,BENZOCAINE,5,g,NCE,Prescription,DEEF PHARMACEUTICAL INDUSTRIES,Saudi Arabia,Valid,10/16/2024
CLOTRIZOLE 100MG VAGINAL TABLETS,CLOTRIMAZOLE,-,-,Generic,OTC,BATTERJEE PHARMACETICAL FACTORY,Saudi Arabia,Valid,10/10/2023
COBRA ANTIVENOM (EQUINE) AMP,ANTIVENOM IMMUNOGLOBULIN (AGAINST NAJA HAJE ARABICUS & WALTERI-NNESIA AEGYPTIA VENOM),10,ml,Biological,Prescription,NATIONAL ANTIVENOM AND VACCINE PRODUCTION CENTER,Saudi Arabia,Valid,8/31/2022
COMPOUND SODIUM LACTATE INFUSION,"SODIUM CHLORIDE,POTASSIUM CHLORIDE, CALCIUM CHLORIDE,SODIUM LACTATE",1000,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/30/2022
COMPOUND SODIUM LACTATE INF.,"SODIUM CHLORIDE,POTASSIUM CHLORIDE, CALCIUM CHLORIDE,SODIUM LACTATE",1000,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,3/13/2023
COMPOUND SODIUM LACTATE INF.,"SODIUM CHLORIDE,POTASSIUM CHLORIDE, CALCIUM CHLORIDE,SODIUM LACTATE",500,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,8/22/2024
COMPOUND SODIUM LACTATE INF.,"SODIUM CHLORIDE,POTASSIUM CHLORIDE, CALCIUM CHLORIDE,SODIUM LACTATE",500,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,10/17/2023
COMPOUND SODIUM LACTATE INF.,"SODIUM CHLORIDE,POTASSIUM CHLORIDE, CALCIUM CHLORIDE,SODIUM LACTATE",1000,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,3/13/2023
COMPOUND SODIUM LACTATE INFUSION,LACTATED RINGER(S),500,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,8/21/2024
CIPROXEN 750MG FILM COATED TABLET,CIPROFLOXACIN,-,-,Generic,Prescription,Jamjoom Pharmaceuticals Factory Company,Saudi Arabia,Valid,9/14/2023
CIPROXEN 250MG FILM COATED TABLET,CIPROFLOXACIN,-,-,Generic,Prescription,Jamjoom Pharmaceuticals Factory Company,Saudi Arabia,Valid,7/10/2023
CEPHALEX ORAL SUSP 250MG-5ML,CEFALEXIN,100,ml,Generic,Prescription,TABUK PHARMACEUTICAL MANUFACTURING CO.,Saudi Arabia,Valid,2/28/2024
CEPHALEX 500MG CAPS,CEFALEXIN,-,-,Generic,Prescription,TABUK PHARMACEUTICAL MANUFACTURING CO.,Saudi Arabia,Valid,2/28/2024
CEFADROX 500MG-5ML SUSPENSION,CEFADROXIL,100,ml,Generic,Prescription,Jazeera Pharmaceutical Industries (JPI),Saudi Arabia,Valid,6/12/2023
CEFADROX 500MG CAPSULE,CEFADROXIL,-,-,Generic,Prescription,Jazeera Pharmaceutical Industries (JPI),Saudi Arabia,Valid,8/29/2022
CEFADROX 250MG-5ML SUSPENSION,CEFADROXIL,100,ml,Generic,Prescription,Jazeera Pharmaceutical Industries (JPI),Saudi Arabia,Valid,6/12/2023
CIPROXEN 500MG FILM COATED TABLET,CIPROFLOXACIN,-,-,Generic,Prescription,Jamjoom Pharmaceuticals Factory Company,Saudi Arabia,Valid,11/7/2024
CIPROGEN,CIPROFLOXACIN,-,-,Generic,Prescription,RIYADH PHARMA,Saudi Arabia,Valid,5/22/2024
CIPROCIN 0.3%,CIPROFLOXACIN,5,ml,Generic,Prescription,RIYADH PHARMA,Saudi Arabia,Valid,2/10/2025
"CIPRO-SOL 200MG / 100 ML Glass bottle 	",CIPROFLOXACIN,100,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,8/13/2023
CIPROPHARM 500MG TABLET,CIPROFLOXACIN,-,-,Generic,Prescription,Med city,Saudi Arabia,Valid,5/12/2025
CIPROMAX 500 MG TABLET,CIPROFLOXACIN,-,-,Generic,Prescription,SPIMACO,Saudi Arabia,Valid,4/24/2025
CIPROMAX 750MG TAB,CIPROFLOXACIN,-,-,Generic,Prescription,SPIMACO,Saudi Arabia,Valid,4/24/2025
CHLOROQUINE,CHLOROQUINE PHOSPHATE,-,-,Generic,Prescription,RIYADH PHARMA,Saudi Arabia,Valid,2/27/2024
CHLOROQUINE,CHLOROQUINE PHOSPHATE,100,ml,Generic,Prescription,RIYADH PHARMA,Saudi Arabia,Valid,2/10/2025
DEXTROSE 10% I.V.INFUSION,DEXTROSE,250,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,8/31/2022
DEXTROSE 10% I.V.INFUSION,DEXTROSE,500,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,8/31/2022
DEXTROSE 10% I.V.INFUSION,DEXTROSE,100,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,8/31/2022
DEXTROSE 10% I.V.INFUSION,DEXTROSE,250,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,8/31/2022
10% Dextrose intravenous infusion,DEXTROSE,500,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,6/11/2024
DEXTROSE 10% I.V.INFUSION,DEXTROSE,1000,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,8/31/2022
DEXTROSE 10% I.V.INFUSION,DEXTROSE,1000,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,8/31/2022
DEXTROSE 10% IN 1-2 NORMAL SALINE,"DEXTROSE,SODIUM CHLORIDE",250,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/9/2022
DEXTROSE 10% IN 1-2 NORMAL SALINE,"DEXTROSE,SODIUM CHLORIDE",500,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/9/2022
DEXTROSE 10% IN 1-2 NORMAL SALINE,"DEXTROSE,SODIUM CHLORIDE",250,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/9/2022
DEXTROSE 10%+ SOD.CHLORIDE 0.18%,"DEXTROSE,SODIUM CHLORIDE",1000,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/6/2022
DEXTROSE 10% IN0.225% SOD.CHLORIDE INFS,"DEXTROSE,SODIUM CHLORIDE",250,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/9/2022
DEXTROSE 10% IN0.225% SOD.CHLORIDE INFS,"DEXTROSE,SODIUM CHLORIDE",250,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/9/2022
DEXTROSE 10% IN0.225% SOD.CHLORIDE INFS,"DEXTROSE,SODIUM CHLORIDE",500,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/9/2022
DEXTROSE 10% IN 1-5NORMAL SALINE INFUSIO,"DEXTROSE,SODIUM CHLORIDE",500,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/24/2022
DEXTROSE 10% IN 1-5NORMAL SALINE INFUSIO,"DEXTROSE,SODIUM CHLORIDE",250,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,3/27/2023
DEXTROSE 10%+ SOD.CHLORIDE 0.18%,"DEXTROSE,SODIUM CHLORIDE",250,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/6/2022
"DEXTROSE ,RINGER LACTATE","SODIUM CHLORIDE,SODIUM LACTATE,POTASSIUM CHLORIDE,CALCIUM CHLORIDE",1000,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,10/26/2022
"DEXTROSE ,RINGER","DEXTROSE,SODIUM CHLORIDE,POTASSIUM CHLORIDE, CALCIUM CHLORIDE",500,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/20/2022
"DEXTROSE ,RINGER","DEXTROSE,SODIUM CHLORIDE,POTASSIUM CHLORIDE, CALCIUM CHLORIDE",1000,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/20/2022
DEXTRAN-70 6% IN N.SALINE INF,"HYPROMELLOSE 2208 (750 MPA.S),DEXTRAN 70",500,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/6/2022
DEXTRAN-70 6% IN N.SALINE INF,"DEXTRAN 70,SODIUM CHLORIDE",500,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/6/2022
DEXTRAN-70 6% IN DEXTROSE 5% Infusion*,"DEXTRAN 70,DEXTROSE",500,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/6/2022
DEXTRAN-70 6% IN DEXTROSE 5% Infusion*,"DEXTRAN 70,DEXTROSE",500,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/6/2022
DEXTRAN-40 IN N.SALINE,"DEXTRAN 40,SODIUM CHLORIDE",500,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/6/2022
DEXTRAN-40 IN N.SALINE,"DEXTRAN 40,SODIUM CHLORIDE",500,ml,NCE,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/6/2022
DEXTRAN-40 IN 5% DEXTROSE INJ,"DEXTRAN 40,DEXTROSE",500,ml,NCE,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/6/2022
DEXTRAN-40 IN 5% DEXTROSE INJ,"DEXTRAN 40,DEXTROSE",500,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/6/2022
"DEXTROSE ,RINGER LACTATE","SODIUM LACTATE,SODIUM CHLORIDE, CALCIUM CHLORIDE,POTASSIUM CHLORIDE,DEXTROSE",500,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,6/11/2024
"DEXTROSE ,RINGER LACTATE","SODIUM CHLORIDE,SODIUM LACTATE,POTASSIUM CHLORIDE,CALCIUM CHLORIDE",500,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,10/26/2022
"DEXTROSE ,SOD.CHLORIDE","DEXTROSE,SODIUM CHLORIDE",1000,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/9/2022
"DEXTROSE ,SOD.CHLORIDE","DEXTROSE,SODIUM CHLORIDE",500,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/9/2022
"DEXTROSE ,SOD.CHLORIDE","DEXTROSE,SODIUM CHLORIDE",500,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/9/2022
"DEXTROSE ,SOD.CHLORIDE","DEXTROSE,SODIUM CHLORIDE",250,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/9/2022
"DEXTROSE ,SOD.CHLORIDE","DEXTROSE,SODIUM CHLORIDE",500,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/9/2022
"DEXTROSE ,SOD.CHLORIDE","DEXTROSE,SODIUM CHLORIDE",500,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/15/2023
"DEXTROSE ,SOD.CHLORIDE","DEXTROSE,SODIUM CHLORIDE",1000,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/9/2022
"DEXTROSE ,SOD.CHLORIDE","DEXTROSE,SODIUM CHLORIDE",1000,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/9/2022
"DEXTROSE ,SOD.CHLORIDE","DEXTROSE,SODIUM CHLORIDE",250,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/9/2022
"DEXTROSE ,SOD.CHLORIDE","DEXTROSE,SODIUM CHLORIDE",250,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/9/2022
"DEXTROSE ,SOD.CHLORIDE","DEXTROSE,SODIUM CHLORIDE",500,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/9/2022
"DEXTROSE ,SOD.CHLORIDE","DEXTROSE,SODIUM CHLORIDE",1000,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/9/2022
"DEXTROSE ,SOD.CHLORIDE","DEXTROSE,SODIUM CHLORIDE",1000,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/9/2022
"DEXTROSE ,SOD.CHLORIDE","DEXTROSE,SODIUM CHLORIDE",500,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,9/26/2023
"DEXTROSE ,SOD.CHLORIDE","DEXTROSE,SODIUM CHLORIDE",250,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/9/2022
DEXTROSE 10%+ SOD.CHLORIDE 0.18%,"DEXTROSE,SODIUM CHLORIDE",500,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,10/14/2024
DEXTROSE 10%+N.SALINE INJ,"DEXTROSE,SODIUM CHLORIDE",500,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/9/2022
DEXTROSE 5% IN 0.45% SOD. CHLORIDE INF,"DEXTROSE,SODIUM CHLORIDE",250,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,10/14/2024
DEXTROSE 5% IN 0.45% SOD. CHLORIDE INF,"DEXTROSE,SODIUM CHLORIDE",500,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/9/2022
DEXTROSE 5% IN 0.45% SOD. CHLORIDE INF,"DEXTROSE,SODIUM CHLORIDE",1000,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/15/2023
DEXTROSE 5% IN 0.225% SOD. CHLORIDE INF,"DEXTROSE,SODIUM CHLORIDE",500,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/9/2022
DEXTROSE 5% IN 0.225% SOD. CHLORIDE INF,"DEXTROSE,SODIUM CHLORIDE",1000,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,3/27/2023
DEXTROSE 5% IN 0.225% SOD. CHLORIDE INF,"DEXTROSE,SODIUM CHLORIDE",250,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,10/14/2024
DEXTROSE 5% + 0.9% SODIUM CHLORIDE INFUSION,"DEXTROSE,SODIUM CHLORIDE",500,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/9/2022
DEXTROSE 5% + 0.9% SODIUM CHLORIDE INFUSION,"DEXTROSE,SODIUM CHLORIDE",250,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,10/14/2024
DEXTROSE 5% & RINGER LACTATE INFUSION SOLUTION,"DEXTROSE,SODIUM CHLORIDE,POTASSIUM CHLORIDE, CALCIUM CHLORIDE,SODIUM LACTATE",1000,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,3/27/2023
DEXTROSE 5% IN RINGER SOLUTION,"DEXTROSE, RINGER(S) SOLUTION",1000,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,8/31/2022
DEXTROSE 5% INFUSION,DEXTROSE,250,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,8/16/2023
DEXTROSE 10%+N.SALINE INJ,"DEXTROSE,SODIUM CHLORIDE",250,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/9/2022
DEXTROSE 5%,DEXTROSE,100,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,8/31/2022
DEXTROSE 4.3%IN 0.18%SOD.CHLORIDE INFU,"DEXTROSE,SODIUM CHLORIDE",1000,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,4/26/2023
DEXTROSE 4.3%IN 0.18%SOD.CHLORIDE INFU,"DEXTROSE,SODIUM CHLORIDE",500,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,6/11/2024
DEXTROSE 25% INJ,DEXTROSE,5,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,8/31/2022
DEXTROSE 25% INJ,DEXTROSE,20,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,8/31/2022
DEXTROSE 25% INJ,DEXTROSE,250,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,10/16/2024
DEXTROSE 25% INJ,DEXTROSE,10,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,8/31/2022
DEXTROSE 25% INJ,DEXTROSE,500,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,6/11/2024
DEXTROSE 20% W-V INFUSION,DEXTROSE,500,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,8/31/2022
DEXTROSE 20% W-V INFUSION,DEXTROSE,500,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,9/22/2024
DEXTROSE 20% INJ,DEXTROSE,5,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,8/31/2022
DEXTROSE 20% INJ,DEXTROSE,20,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,8/31/2022
"20%W/V DEXTROSE injection, USP",DEXTROSE,10,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,8/31/2022
DEXTROSE 40% INFUSION,DEXTROSE,500,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,8/31/2022
DEXTROSE 40% INFUSION,DEXTROSE,10,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,8/31/2022
DEXTROSE 40% INFUSION,DEXTROSE,5,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,8/31/2022
DEXTROSE 40% INFUSION,DEXTROSE,500,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,8/31/2022
DEXTROSE 5%,DEXTROSE,500,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,3/27/2023
DEXTROSE 5%,DEXTROSE,1000,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,5/11/2025
DEXTROSE 5%,DEXTROSE,1000,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,8/1/2022
DEXTROSE 5%,DEXTROSE,150,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,3/27/2023
DEXTROSE 5%,DEXTROSE,50,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,9/26/2023
DEXTROSE 5%,DEXTROSE,100,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,8/16/2023
