TradeName,ScientificName,Size,SizeUnit,DrugType,LegalStatus,Manufacture_Name,Manufacture_Country,AuthorizationStatus,LastUpdate
OLMETEC 40 mg film-coated tablet,OLMESARTAN MEDOXOMIL,-,-,NCE,Prescription,SAJA-SAUDI ARABIAN JAPANESE PHARMACEUTICAL CO,Saudi Arabia,Valid,8/4/2024
OLMETEC 20MG F.C. TABLETS,OLMESARTAN MEDOXOMIL,-,-,NCE,Prescription,SAJA-SAUDI ARABIAN JAPANESE PHARMACEUTICAL CO,Saudi Arabia,Valid,8/4/2024
OLAZINE 5MG FILM COATED TABLETS,OLANZAPINE,-,-,Generic,Prescription,RIYADH PHARMA,Saudi Arabia,Valid,11/26/2024
OLAZINE 20MG FILM COATED TABLETS,OLANZAPINE,-,-,Generic,Prescription,RIYADH PHARMA,Saudi Arabia,Valid,11/26/2024
OLAZINE 2.5MG FILM COATED TABLETS,OLANZAPINE,-,-,Generic,Prescription,RIYADH PHARMA,Saudi Arabia,Valid,11/26/2024
OPTIFRESH OPTHALMIC SOLUTION,"POLYVINYL ALCOHOL,POVIDONE",10,ml,Generic,OTC,Jamjoom Pharmaceuticals Factory Company,Saudi Arabia,Valid,9/3/2023
OPTIDRIN EYE DROP,CROMOGLICATE SODIUM,10,ml,Generic,OTC,Jamjoom Pharmaceuticals Factory Company,Saudi Arabia,Valid,9/14/2023
OPTIDEX-T STERILE OPHTALMIC SUSP,"TOBRAMYCIN,DEXAMETHASONE",5,ml,Generic,Prescription,Jamjoom Pharmaceuticals Factory Company,Saudi Arabia,Valid,3/27/2023
OPTICIN 0.3% EYE DROPS,CIPROFLOXACIN,5,ml,Generic,Prescription,Jamjoom Pharmaceuticals Factory Company,Saudi Arabia,Valid,8/31/2022
OPTICHLOR 0.5% OPTHALMIC DROP,CHLORAMPHENICOL,10,ml,Generic,Prescription,Jamjoom Pharmaceuticals Factory Company,Saudi Arabia,Valid,11/6/2023
OMERAL 10 mg capsule,OMEPRAZOLE,-,-,Generic,Prescription,Jazeera Pharmaceutical Industries (JPI),Saudi Arabia,Valid,8/29/2022
OMERAL 20 mg capsule,OMEPRAZOLE,-,-,Generic,Prescription,Jazeera Pharmaceutical Industries (JPI),Saudi Arabia,Valid,8/29/2022
OMIZ 10MG CAP,OMEPRAZOLE,-,-,Generic,Prescription,TABUK PHARMACEUTICAL MANUFACTURING CO.,Saudi Arabia,Valid,8/29/2022
OMNICEF 125MG-5ML SUSP,CEFDINIR,80,ml,NCE,Prescription,Jazeera Pharmaceutical Industries (JPI),Saudi Arabia,Valid,11/26/2024
OMNICEF 125MG-5ML SUSP,CEFDINIR,40,ml,NCE,Prescription,Jazeera Pharmaceutical Industries (JPI),Saudi Arabia,Valid,1/30/2025
OMNIC OCAS 0.4 MG F-C TABLETS,TAMSULOSIN HYDROCHLORIDE,-,-,NCE,Prescription,SAJA-SAUDI ARABIAN JAPANESE PHARMACEUTICAL CO,Saudi Arabia,Valid,4/24/2025
OMIZ PLUS 40MG CAPSULE,"OMEPRAZOLE,SODIUM BICARBONATE",-,-,Generic,Prescription,TABUK PHARMACEUTICAL MANUFACTURING CO.,Saudi Arabia,Valid,4/16/2024
OMIZ PLUS 20MG CAPSULE,"OMEPRAZOLE,SODIUM BICARBONATE",-,-,Generic,Prescription,TABUK PHARMACEUTICAL MANUFACTURING CO.,Saudi Arabia,Valid,4/16/2024
OMIZ 20MG CAP,OMEPRAZOLE,-,-,Generic,Prescription,TABUK PHARMACEUTICAL MANUFACTURING CO.,Saudi Arabia,Valid,7/27/2025
OMNICEF 300MG CAPSULE,CEFDINIR,-,-,NCE,Prescription,Jazeera Pharmaceutical Industries (JPI),Saudi Arabia,Valid,8/29/2022
PARAXONE CAPSULE,"CHLORZOXAZONE,PARACETAMOL",-,-,Generic,Prescription,Jazeera Pharmaceutical Industries (JPI),Saudi Arabia,Valid,11/7/2022
